participant_id,section,index,question,answer,pp,IPQ
P01,post,3,Headache,1-None,P01,1.0
P01,post,4,Eye strain,2-Slight,P01,2.0
P01,post,5,Difficulty focusing,2-Slight,P01,2.0
P01,post,6,Salivation increasing,1-None,P01,1.0
P01,post,7,Sweating,2-Slight,P01,2.0
P01,post,8,Nausea,1-None,P01,1.0
P01,post,9,Difficulty concentrating,2-Slight,P01,2.0
P01,post,10,Fullness of the Head,1-None,P01,1.0
P01,post,11,Blurred vision,2-Slight,P01,2.0
P01,post,12,Dizziness with eyes open,1-None,P01,1.0
P01,post,13,Dizziness with eyes closed,1-None,P01,1.0
P01,post,14,Vertigo (experienced as loss of orientation with respect to vertical upright),1-None,P01,1.0
P01,post,15,Stomach awareness (feeling of discomfort which is just short of nausea),1-None,P01,1.0
P01,post,16,Burping,1-None,P01,1.0
P02,pre,1,What is your age? (in years),38,P06,38.0
P02,pre,2,What is your gender?,Male,P06,
P02,pre,3,What is your highest level of education completed?,Doctoral degree,P06,
P02,pre,4,How much experience do you have using VR?,21+ times,P06,21.0
P02,pre,5,How often have you used VR in the past 6 months?,3+ times a week,P06,3.0
P06,post,1,General discomfort,2-Slight,P06,2.0
P06,post,2,Fatigue,2-Slight,P06,2.0
P06,post,3,Headache,1-None,P06,1.0
P06,post,4,Eye strain,1-None,P06,1.0
P06,post,5,Difficulty focusing,1-None,P06,1.0
P06,post,6,Salivation increasing,1-None,P06,1.0
P06,post,7,Sweating,1-None,P06,1.0
P06,post,8,Nausea,1-None,P06,1.0
P06,post,9,Difficulty concentrating,1-None,P06,1.0
P06,post,10,Fullness of the Head,1-None,P06,1.0
P06,post,11,Blurred vision,1-None,P06,1.0
P06,post,12,Dizziness with eyes open,1-None,P06,1.0
P06,post,13,Dizziness with eyes closed,1-None,P06,1.0
P06,post,14,Vertigo (experienced as loss of orientation with respect to vertical upright),2-Slight,P06,2.0
P06,post,15,Stomach awareness (feeling of discomfort which is just short of nausea),1-None,P06,1.0
P06,post,16,Burping,1-None,P06,1.0
P30,pre,1,What is your age? (in years),26,P30,26.0
P30,pre,2,What is your gender?,Male,P30,
P30,pre,3,What is your highest level of education completed?,Master's degree,P30,
P30,pre,4,How much experience do you have using VR?,1-5 times,P30,1.0
P30,pre,5,How often have you used VR in the past 6 months?,Never,P30,
P30,post,1,General discomfort,1-None,P30,1.0
P30,post,2,Fatigue,1-None,P30,1.0
P30,post,3,Headache,1-None,P30,1.0
P30,post,4,Eye strain,2-Slight,P30,2.0
P30,post,5,Difficulty focusing,1-None,P30,1.0
P30,post,6,Salivation increasing,1-None,P30,1.0
P30,post,7,Sweating,2-Slight,P30,2.0
P30,post,8,Nausea,1-None,P30,1.0
P30,post,9,Difficulty concentrating,1-None,P30,1.0
P30,post,10,Fullness of the Head,1-None,P30,1.0
P30,post,11,Blurred vision,1-None,P30,1.0
P30,post,12,Dizziness with eyes open,1-None,P30,1.0
P30,post,13,Dizziness with eyes closed,1-None,P30,1.0
P30,post,14,Vertigo (experienced as loss of orientation with respect to vertical upright),1-None,P30,1.0
P30,post,15,Stomach awareness (feeling of discomfort which is just short of nausea),1-None,P30,1.0
P30,post,16,Burping,1-None,P30,1.0
P09,pre,1,What is your age? (in years),24,P09,24.0
P09,pre,2,What is your gender?,Male,P09,
P09,pre,3,What is your highest level of education completed?,Master's degree,P09,
P09,pre,4,How much experience do you have using VR?,1-5 times,P09,1.0
P09,pre,5,How often have you used VR in the past 6 months?,Never,P09,
P09,post,1,General discomfort,3-Moderate,P09,3.0
P09,post,2,Fatigue,2-Slight,P09,2.0
P09,post,3,Headache,1-None,P09,1.0
P09,post,4,Eye strain,2-Slight,P09,2.0
P09,post,5,Difficulty focusing,2-Slight,P09,2.0
P09,post,6,Salivation increasing,1-None,P09,1.0
P09,post,7,Sweating,2-Slight,P09,2.0
P09,post,8,Nausea,2-Slight,P09,2.0
P09,post,9,Difficulty concentrating,2-Slight,P09,2.0
P09,post,10,Fullness of the Head,2-Slight,P09,2.0
P09,post,11,Blurred vision,3-Moderate,P09,3.0
P09,post,12,Dizziness with eyes open,2-Slight,P09,2.0
P09,post,13,Dizziness with eyes closed,1-None,P09,1.0
P09,post,14,Vertigo (experienced as loss of orientation with respect to vertical upright),2-Slight,P09,2.0
P09,post,15,Stomach awareness (feeling of discomfort which is just short of nausea),2-Slight,P09,2.0
P09,post,16,Burping,2-Slight,P09,2.0
P07,pre,1,What is your age? (in years),28,P07,28.0
P07,pre,2,What is your gender?,Female,P07,
P07,pre,3,What is your highest level of education completed?,Master's degree,P07,
P07,pre,4,How much experience do you have using VR?,21+ times,P07,21.0
P07,pre,5,How often have you used VR in the past 6 months?,1-3 times a month,P07,1.0
P07,post,1,General discomfort,1-None,P07,1.0
P07,post,2,Fatigue,1-None,P07,1.0
P07,post,3,Headache,1-None,P07,1.0
P07,post,4,Eye strain,2-Slight,P07,2.0
P07,post,5,Difficulty focusing,1-None,P07,1.0
P07,post,6,Salivation increasing,1-None,P07,1.0
P07,post,7,Sweating,1-None,P07,1.0
P07,post,8,Nausea,1-None,P07,1.0
P07,post,9,Difficulty concentrating,1-None,P07,1.0
P07,post,10,Fullness of the Head,1-None,P07,1.0
P07,post,11,Blurred vision,1-None,P07,1.0
P07,post,12,Dizziness with eyes open,1-None,P07,1.0
P07,post,13,Dizziness with eyes closed,1-None,P07,1.0
P07,post,14,Vertigo (experienced as loss of orientation with respect to vertical upright),1-None,P07,1.0
P07,post,15,Stomach awareness (feeling of discomfort which is just short of nausea),2-Slight,P07,2.0
P07,post,16,Burping,1-None,P07,1.0
